Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder				
Taxonomy	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Odoribacter |Odoribacter laneus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04E-05	3.25E-06	8.26E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Odoribacter |Odoribacter sp. AF15-53 	1.30E-06	2.37E-06	1.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	8.03E-07	2.50E-07	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Odoribacter |Odoribacter splanchnicus 	0.000335853	0.000305447	0.000503062	0	0	0	0.000528944	0.000416736	0.000288779	1.80E-05	1.95E-05	2.21E-05	2.58E-05	4.62E-05	2.31E-05	5.35E-07	8.76E-07	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Unknown|Unknown	0.003972908	0.004299548	0.005116962	0	0	0	0.000129624	0.000123377	7.16E-05	0	0	0	0	0	0	0.003167698	0.003313531	0.002670229				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Porphyromonadaceae |Massilibacteroides |Massilibacteroides vaginae* 	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43E-07	0	3.57E-07	3.75E-07	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Porphyromonadaceae |Porphyromonas |Porphyromonas sp. 31_2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-05	5.13E-06	8.97E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Paraprevotella |Paraprevotella clara 	0	0	0	0	0	0	0	0	0	0	0	1.92E-07	0	0	0	1.36E-05	1.44E-05	7.85E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Paraprevotella |Paraprevotella clara CAG	0	0	0	0	0	0	0	0	0	1.80E-07	2.03E-07	0	0	0	0	9.53E-05	7.47E-05	7.99E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Paraprevotella |Paraprevotella xylaniphila 	0	5.61E-06	9.87E-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000494527	0.000399205	0.000366639				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Paraprevotella |Unknown	0	0	0	0	0	0	0	0	0	0	2.03E-07	2.88E-07	0	0	0	0.020986437	0.016161941	0.01585209				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella bivia 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.03E-07	6.26E-07	6.57E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella copri 	0	4.31E-06	1.76E-07	0.000271498	0.000156124	0.000550419	2.54E-06	1.81E-06	3.25E-06	0.000158533	0.000348096	0.00025341	1.18E-07	0	0	7.60E-05	0.00014479	9.41E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella denticola 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000139905	5.07E-05	6.89E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella disiens 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.92E-08	0	7.73E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella ihumii 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.28E-06	6.88E-06	5.26E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella sp. AM42-24 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78E-07	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella sp. C561 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.92E-08	0	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella sp. CAG	0	2.16E-07	7.05E-07	0	0	0	0	0	0	9.72E-06	4.06E-07	1.72E-05	0	0	0	9.18E-06	4.51E-06	7.31E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella sp. P5-119 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05E-06	3.00E-06	1.78E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Unknown	6.80E-06	8.20E-06	8.28E-06	0	0	0	9.60E-06	9.21E-06	4.99E-05	7.56E-06	0	7.01E-06	0	0	0	1.88E-05	1.79E-05	1.40E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Unknown|Unknown	2.90E-06	5.39E-06	6.70E-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000257874	0.000489559	0.000289631				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes finegoldii 	3.18E-06	7.55E-06	3.44E-05	0	0	0	0	0	0	9.00E-06	4.06E-06	2.59E-06	1.30E-06	1.26E-05	0	9.01E-06	8.63E-06	6.11E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes putredinis CAG	0	0	0	0	0	0	3.05E-05	3.56E-05	9.15E-06	0	0	0	0	0	0	9.81E-07	3.75E-07	2.71E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes senegalensis 	4.34E-07	7.33E-06	2.17E-05	0	0	0	0	0	0	9.00E-07	0	0	3.30E-06	3.04E-05	0	8.92E-08	0	7.73E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. AL-1 	1.45E-07	0	2.64E-06	0	0	0	0	0	0	0	0	0	0	0	0	1.25E-06	7.51E-07	2.32E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. AM16-43 	0	0	0	0	0	0	0	0	0	1.93E-05	2.39E-05	1.83E-05	0	0	0	3.57E-07	1.25E-07	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. An66 	0	4.31E-07	3.00E-06	0	0	0	0	0	0	1.26E-06	0	0	8.85E-06	7.05E-05	0	0	0	7.73E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. CAG	3.08E-05	3.82E-05	0.000171799	0	0	0	1.13E-06	1.26E-06	4.43E-07	5.07E-05	5.86E-05	4.96E-05	1.89E-06	1.56E-05	0	2.68E-07	2.50E-07	1.93E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Unknown	0.002533663	0.001947653	0.00938832	0	0	0	0.001061277	0.001149772	0.000306496	0.003063241	0.002561226	0.002092746	0.000624023	0.00443278	2.23E-06	9.08E-05	9.85E-05	5.26E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Millionella |Millionella massiliensis* 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35E-07	5.01E-07	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Rikenella |Rikenella microfusus* 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.03E-07	1.25E-07	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Unknown|Unknown	0.000208605	0.001281107	0.00204837	0	0	0	8.19E-06	9.75E-06	2.51E-06	1.08E-06	6.09E-07	9.60E-08	9.44E-07	5.84E-06	0	0	0	1.16E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides chinchillae 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61E-06	8.76E-07	1.16E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides distasonis 	1.74E-06	5.61E-06	6.34E-06	0	0	0	5.73E-05	0.000125725	7.51E-05	2.23E-05	6.69E-06	2.68E-05	6.96E-06	1.23E-05	1.10E-05	0.000105664	3.62E-05	3.70E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides goldsteinii 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28E-05	9.76E-06	9.66E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides gordonii 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71E-05	1.24E-05	1.59E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides johnsonii 	0	6.47E-07	0	6.75E-06	2.27E-06	0	0	0	0.00012313	1.66E-05	4.06E-07	1.54E-06	0	0	0	2.32E-06	1.75E-06	1.55E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides merdae 	4.26E-05	6.86E-05	0.000163517	0	7.55E-07	0	2.82E-07	5.42E-07	2.47E-05	7.97E-05	6.80E-05	7.89E-05	0.000343467	0.000216835	8.41E-05	0.000239506	0.000229637	0.000301344				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides merdae CAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.92E-07	5.01E-07	1.55E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. 426-9 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.92E-08	1.25E-07	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. AF14-59 	0	6.47E-07	0	0	0	0	0	0	7.38E-07	0	0	0	0	0	0	7.22E-06	3.63E-06	4.25E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. AF17-3 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32E-06	1.00E-06	2.32E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. AF18-52 	1.45E-07	4.31E-07	1.76E-06	0	0	0	0	0	0	0	0	0	0	0	0	8.38E-06	6.88E-06	2.32E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. AF19-14 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.30E-05	2.00E-06	1.09E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. AF39-10AC 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.81E-06	3.75E-07	1.31E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. AF48-14 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.10E-05	7.51E-07	3.87E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. AM08-6 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68E-07	1.25E-07	1.16E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. AM27-42 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.01E-07	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. AM58-2XD 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76E-06	2.50E-06	7.73E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. An277 	0	0	0	0	0	0	0	0	0	7.20E-07	0	1.25E-06	0	0	0	4.46E-07	1.25E-07	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. CAG	0	0	0	0	0	0	0	0	1.09E-05	0.003756757	5.07E-06	0.006189162	0	0	0	2.32E-06	5.38E-06	7.73E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. D13 	4.63E-06	7.12E-06	7.75E-06	0	0	0	5.65E-07	2.89E-06	1.18E-06	0	0	0	0	0	0	2.68E-06	5.13E-06	2.47E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. D26 	0	0	0	0	0	0	1.69E-06	2.35E-06	4.43E-07	0	0	0	0	0	0	8.92E-08	2.50E-07	7.73E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. HGS0025 	0	0	0	0	0	0	0	0	0	0	0	0	2.36E-07	7.05E-06	0	3.57E-07	2.50E-07	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. Marseille-P3668 	0	0	0	0	0	0	0	0	2.95E-07	0	0	0	0	0	0	0	1.25E-07	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. Marseille-P4001 	1.20E-05	1.14E-05	9.16E-06	0	0	0	0	0	2.36E-06	0	0	5.76E-07	0	0	0	1.69E-06	1.38E-06	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. TM07-1AC 	0	0	0	0	0	0	0	0	1.18E-06	0	0	0	0	0	0	0.000153815	0.000110251	1.15E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides timonensis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.44E-05	1.61E-05	1.93E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Unknown	0.005298514	0.010895122	0.03147319	0	2.01E-06	0	0.000358372	0.00071985	0.012511842	0.00633612	0.005666504	0.006931731	0.028273555	0.008512397	3.11E-05	0.005434085	0.006846812	0.005430069				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Tannerella |Tannerella forsythia 	0	0	0	0	0	0	8.47E-07	0	2.95E-07	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Tannerella |Tannerella sp. 6_1_58FAA_CT1 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.46E-07	3.75E-07	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Unknown|Candidatus Symbiothrix |Candidatus Symbiothrix dinenymphae* 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68E-07	2.50E-07	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Unknown|Unknown|Bacteroidales bacterium 43_8 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.90E-06	1.20E-05	1.01E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Unknown|Unknown|Bacteroidales bacterium 55_9 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57E-07	3.75E-07	1.93E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Unknown|Unknown|Unknown	0.07248415	0.059214131	0.059847481	0.016971204	0.008071362	0.024769941	0.07821736	0.116983611	0.070912989	0.044940731	0.050062773	0.047502714	0.034210334	0.048043308	0.039797896	0.082796192	0.120380479	0.096759668				
Bacteria |Bacteroidetes |Bacteroidia |Unknown|Unknown|Unknown|Unknown	4.07E-05	6.02E-05	7.45E-05	0.002811425	0.00168337	0.005312777	0.000991241	0.000981235	8.16E-05	0.001131508	0.003147269	0.002220699	0.000467988	0.000887042	0.000334005	0.000298267	7.77E-05	0.000119107				
Bacteria |Bacteroidetes |Chitinophagia |Chitinophagales |Chitinophagaceae |Chitinophaga |Chitinophaga sp. K20C18050901 	5.50E-06	2.24E-05	7.75E-06	0	0	0	0	0	0	6.78E-05	0	5.76E-07	0	0	0	0	1.13E-06	0				
Bacteria |Bacteroidetes |Chitinophagia |Chitinophagales |Chitinophagaceae |Chitinophaga |Chitinophaga sp. YR573 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16E-07				
Bacteria |Bacteroidetes |Cytophagia |Cytophagales |Hymenobacteraceae |Adhaeribacter |Adhaeribacter aquaticus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57E-07	0	0				
Bacteria |Bacteroidetes |Flavobacteriia |Flavobacteriales |Flavobacteriaceae |Ornithobacterium |Ornithobacterium rhinotracheale 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.82E-06	1.30E-05	4.45E-06				
Bacteria |Bacteroidetes |Sphingobacteriia |Sphingobacteriales |Sphingobacteriaceae |Sphingobacterium |Sphingobacterium sp. T2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.24E-07	0	3.87E-08				
Bacteria |Bacteroidetes |Unknown|Unknown|Unknown|Unknown|Unknown	0.000353514	0.000501096	0.001372981	0.004142981	0.002398771	0.008314647	0.00178028	0.002072119	0.000845078	0.000690097	0.000573466	0.000587355	8.05E-05	0.000243225	9.72E-06	0.001963393	0.001275205	0.001504246				
Bacteria |Candidatus Melainabacteria |unified Candidatus Melainabacteria no rank|Unknown|Unknown|Unknown|Candidatus Melainabacteria bacterium 	1.45E-07	4.31E-07	1.76E-06	0	0	0	0	0	0	0	0	0	8.26E-06	0.000380891	1.59E-07	1.78E-07	0	0				
Bacteria |Chlamydiae |Chlamydiia |Chlamydiales |Chlamydiaceae |Chlamydia |Chlamydia abortus 	0.006248167	0.023337323	0.008239471	0.043504277	0.042715541	0.005682167	0.062202187	0.027940283	0.032662158	0.035583837	0.008574203	0.003966159	0.002417249	0.001016195	0.00314637	0.00273131	0.004391511	0.020483356				
Bacteria |Chlamydiae |Chlamydiia |Chlamydiales |Chlamydiaceae |Chlamydia |Chlamydia trachomatis 	8.45E-05	0.000930792	0.001954454	0.000376856	0.000393836	4.57E-05	0.000630327	0.000274392	0.000328051	0.00037465	0.000137332	9.22E-05	1.26E-05	1.69E-05	2.98E-05	3.50E-05	5.82E-05	0.000257892				
Bacteria |Chlamydiae |Chlamydiia |Chlamydiales |Chlamydiaceae |Chlamydia* |Unknown	0.00077058	0.002579686	0.000983218	0.004322359	0.004293663	0.000535143	0.0080491	0.003472078	0.004072435	0.0055188	0.001207789	0.000574205	0.000233581	9.87E-05	0.000364905	0.000212309	0.00039007	0.001694369				
Bacteria |Chloroflexi |Unknown|Unknown|Unknown|Unknown|Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68E-07	6.26E-07	6.57E-07				
Bacteria |Firmicutes |Bacilli |Bacillales |Paenibacillaceae |Paenibacillus |Paenibacillus ginsengarvi 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.73E-08				
Bacteria |Firmicutes |Bacilli |Bacillales |Paenibacillaceae |Unknown|Unknown	2.90E-07	1.73E-06	3.52E-07	0	0	0	0	0	0	0	0	0	7.08E-07	2.92E-06	3.34E-06	3.57E-07	0	9.28E-07				
Bacteria |Firmicutes |Bacilli |Bacillales |Unknown|Unknown|Unknown	1.88E-06	4.10E-06	1.59E-06	2.70E-06	5.04E-06	1.07E-06	1.13E-06	1.45E-06	1.03E-06	1.80E-07	8.11E-07	2.02E-06	3.66E-06	4.38E-06	9.56E-07	1.43E-06	1.00E-06	1.16E-06				
Bacteria |Firmicutes |Bacilli |Lactobacillales |Enterococcaceae |Enterococcus |Enterococcus avium 	1.45E-07	0	1.76E-07	5.21E-05	5.59E-05	1.31E-05	6.21E-06	1.05E-05	5.60E-05	0	0	0	0	0	0	0	1.25E-07	1.16E-07				
Bacteria |Firmicutes |Bacilli |Lactobacillales |Enterococcaceae |Enterococcus |Enterococcus cecorum 	1.45E-07	6.47E-07	0	0.036994804	0.094606896	0.058168159	0	0	0	0	0	0	0	0	0	0	0	7.73E-08				
Bacteria |Firmicutes |Bacilli |Lactobacillales |Enterococcaceae |Enterococcus |Enterococcus faecium 	5.79E-07	6.47E-07	1.76E-07	0.000161278	0.000212278	0.000136879	0	0	2.95E-07	1.80E-07	2.03E-07	3.84E-07	0	0	0	0	0	1.16E-07				
Bacteria |Firmicutes |Bacilli |Lactobacillales |Enterococcaceae |Enterococcus |Enterococcus phoeniculicola 	0	0	0	2.43E-06	4.03E-06	7.64E-07	0	0	0	0	0	0	0	0	0	1.78E-07	0	3.87E-08				
Bacteria |Firmicutes |Bacilli |Lactobacillales |Enterococcaceae |Enterococcus |Enterococcus sp. Marseille-P4358 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25E-07	3.87E-08				
Bacteria |Firmicutes |Bacilli |Lactobacillales |Enterococcaceae |Enterococcus |Unknown	1.59E-06	2.59E-06	1.23E-06	0.004899665	0.009911107	0.005427046	0.000118892	0.000241877	0.001524949	3.01E-05	4.06E-05	2.47E-05	0	0	0	1.52E-06	4.13E-06	4.37E-06				
Bacteria |Firmicutes |Bacilli |Lactobacillales |Enterococcaceae |Unknown|Unknown	0	6.47E-07	1.76E-07	6.75E-06	1.86E-05	5.96E-06	5.65E-07	5.42E-07	3.25E-06	0	0	0	0	0	0	0	2.50E-07	0				
Bacteria |Firmicutes |Bacilli |Lactobacillales |Lactobacillaceae |Lactobacillus |Lactobacillus murinus 	0	0	0	0	0	0	0	0	0	3.60E-07	0	5.76E-07	0	0	0	8.92E-08	0	4.64E-07				
Bacteria |Firmicutes |Bacilli |Lactobacillales |Streptococcaceae |Streptococcus |Streptococcus pneumoniae 	0	0	0	0	1.51E-06	0	0	0	0	0	0	0	0	0	0	1.78E-07	1.25E-07	3.09E-07				
Bacteria |Firmicutes |Bacilli |Lactobacillales |Streptococcaceae |Streptococcus |Streptococcus pyogenes 	0	0	0	0	0	0	1.13E-06	0	4.43E-07	0	0	0	0	0	0	0	0	1.01E-06				
Bacteria |Firmicutes |Bacilli |Lactobacillales |Streptococcaceae |Streptococcus |Streptococcus suis 	0	4.31E-07	3.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	1.78E-07	0	1.16E-07				
Bacteria |Firmicutes |Bacilli |Lactobacillales |Unknown|Unknown|Unknown	1.45E-07	8.63E-07	8.81E-07	0.000169382	0.0003611	0.000140087	1.41E-06	2.89E-06	1.34E-05	4.08E-05	2.45E-05	4.46E-05	0	0	7.96E-07	0	1.25E-07	3.87E-08				
Bacteria |Firmicutes |Bacilli |Unknown|Unknown|Unknown|Unknown	1.59E-06	6.04E-06	2.29E-06	0.000121026	0.00014857	6.39E-05	2.82E-05	2.89E-05	6.45E-05	0.000474701	6.15E-05	0.000370804	4.84E-06	3.28E-06	6.69E-06	0	3.75E-07	2.71E-07				
Bacteria |Firmicutes |Clostridia |Clostridiales |Christensenellaceae |Christensenella |Christensenella massiliensis 	2.90E-07	2.16E-07	0	0	0	0	0	0	0	0	0	0	0	2.43E-07	0	0	3.75E-07	1.16E-07				
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Beduini |Beduini massiliensis* 	4.34E-06	6.47E-06	3.00E-06	0	0	0	0	0	0	2.88E-06	8.11E-07	1.06E-06	1.77E-06	0	3.34E-06	1.07E-06	2.13E-06	1.47E-06				
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Butyricicoccus |Butyricicoccus pullicaecorum 	1.51E-05	4.31E-06	1.25E-05	0	0	0	0.007923995	0.004861559	0.008930745	0	0	2.88E-07	0.00115079	5.59E-06	0.002818098	2.68E-07	3.75E-07	2.71E-07				
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Butyricicoccus |Butyricicoccus sp. 1XD8-22 	1.45E-07	8.63E-07	5.29E-07	0	0	0	0	0	0	0	0	0	1.53E-05	0	4.38E-05	6.96E-06	3.75E-07	4.25E-07				
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Butyricicoccus |Butyricicoccus sp. OF13-6 	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43E-07	0	1.78E-07	2.50E-07	1.55E-07				
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Butyricicoccus |uncultured Butyricicoccus sp.* 	5.79E-06	9.49E-06	1.44E-05	0	0	0	1.41E-05	5.96E-06	6.35E-06	0	0	0	0	3.04E-06	0	5.97E-06	7.88E-06	4.02E-06				
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Butyricicoccus |Unknown	0.000369149	0.000311918	0.000509229	0	0	0	4.24E-06	1.63E-06	1.92E-06	0	1.83E-06	0	0.000177635	0.000146057	0.000440721	8.92E-07	1.50E-06	9.66E-07				
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Clostridium |Clostridium bolteae CAG	0	0	0	0	0	0	0	0	0	0	0	0	1.06E-06	2.43E-07	3.19E-07	0	1.25E-07	1.04E-06				
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Clostridium |Clostridium botulinum 	8.69E-07	0	7.05E-07	3.48E-05	9.07E-06	5.65E-06	0	0	0	0	4.06E-07	6.72E-07	2.36E-07	6.08E-07	3.03E-06	0	2.50E-07	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Clostridium |Clostridium clostridioforme CAG	8.69E-07	1.08E-06	7.05E-07	0	0	0	0	0	0	0	0	0	2.36E-06	3.65E-07	0	1.58E-05	3.50E-06	3.36E-06				
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Clostridium |Clostridium frigidicarnis 	1.45E-06	1.94E-06	8.81E-07	0	0	0	0	1.26E-06	4.43E-07	7.20E-07	0	0	4.72E-07	3.65E-07	3.19E-07	1.78E-07	3.75E-07	2.71E-07				
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Clostridium |Clostridium merdae 	5.79E-07	6.47E-07	1.76E-07	0	0	0	5.65E-07	1.26E-06	4.43E-07	9.00E-07	6.09E-07	1.06E-06	0	0	0	6.24E-07	5.01E-07	1.04E-06				
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Clostridium |Clostridium nexile CAG	0	0	0	0	0	0	0	2.17E-06	0	0	0	0	0	0	0	4.46E-07	2.50E-07	1.97E-06				
